NEW_NAME,year_index,code,year,stata_command,new_year_ugh
id_release2,2,ER17001,01,cap rename ER17001 id_release2,2001
id_release2,3,ER21001,03,cap rename ER21001 id_release2,2003
id_release2,4,ER25001,05,cap rename ER25001 id_release2,2005
id_release2,5,ER36001,07,cap rename ER36001 id_release2,2007
id_release2,6,ER42001,09,cap rename ER42001 id_release2,2009
id_release2,7,ER47301,11,cap rename ER47301 id_release2,2011
id_release2,8,ER53001,13,cap rename ER53001 id_release2,2013
id_release2,9,ER60001,15,cap rename ER60001 id_release2,2015
own_rent,1,ER13040,99,cap rename ER13040 own_rent,1999
own_rent,10,ER66030,17,cap rename ER66030 own_rent,2017
own_rent,2,ER17043,01,cap rename ER17043 own_rent,2001
own_rent,3,ER21042,03,cap rename ER21042 own_rent,2003
own_rent,4,ER25028,05,cap rename ER25028 own_rent,2005
own_rent,5,ER36028,07,cap rename ER36028 own_rent,2007
own_rent,6,ER42029,09,cap rename ER42029 own_rent,2009
own_rent,7,ER47329,11,cap rename ER47329 own_rent,2011
own_rent,8,ER53029,13,cap rename ER53029 own_rent,2013
own_rent,9,ER60030,15,cap rename ER60030 own_rent,2015
pension_comp_r,1,ER15182,99,cap rename ER15182 pension_comp_r,1999
pension_comp_r,10,ER68015,17,cap rename ER68015 pension_comp_r,2017
pension_comp_r,2,ER19350,01,cap rename ER19350 pension_comp_r,2001
pension_comp_r,3,ER22745,03,cap rename ER22745 pension_comp_r,2003
pension_comp_r,4,ER26726,05,cap rename ER26726 pension_comp_r,2005
pension_comp_r,5,ER37766,07,cap rename ER37766 pension_comp_r,2007
pension_comp_r,6,ER43739,09,cap rename ER43739 pension_comp_r,2009
pension_comp_r,7,ER49085,11,cap rename ER49085 pension_comp_r,2011
pension_comp_r,8,ER54841,13,cap rename ER54841 pension_comp_r,2013
pension_comp_r,9,ER61961,15,cap rename ER61961 pension_comp_r,2015
pension_comp_s,1,ER15328,99,cap rename ER15328 pension_comp_s,1999
pension_comp_s,10,ER68232,17,cap rename ER68232 pension_comp_s,2017
pension_comp_s,2,ER19493,01,cap rename ER19493 pension_comp_s,2001
pension_comp_s,3,ER22889,03,cap rename ER22889 pension_comp_s,2003
pension_comp_s,4,ER26870,05,cap rename ER26870 pension_comp_s,2005
pension_comp_s,5,ER37998,07,cap rename ER37998 pension_comp_s,2007
pension_comp_s,6,ER43971,09,cap rename ER43971 pension_comp_s,2009
pension_comp_s,7,ER49304,11,cap rename ER49304 pension_comp_s,2011
pension_comp_s,8,ER55057,13,cap rename ER55057 pension_comp_s,2013
pension_comp_s,9,ER62178,15,cap rename ER62178 pension_comp_s,2015
pension_r,1,ER15181,99,cap rename ER15181 pension_r,1999
pension_r,10,ER68010,17,cap rename ER68010 pension_r,2017
pension_r,2,ER19349,01,cap rename ER19349 pension_r,2001
pension_r,3,ER22744,03,cap rename ER22744 pension_r,2003
pension_r,4,ER26725,05,cap rename ER26725 pension_r,2005
pension_r,5,ER37761,07,cap rename ER37761 pension_r,2007
pension_r,6,ER43734,09,cap rename ER43734 pension_r,2009
pension_r,7,ER49080,11,cap rename ER49080 pension_r,2011
pension_r,8,ER54836,13,cap rename ER54836 pension_r,2013
pension_r,9,ER61956,15,cap rename ER61956 pension_r,2015
pension_s,1,ER15327,99,cap rename ER15327 pension_s,1999
pension_s,10,ER68227,17,cap rename ER68227 pension_s,2017
pension_s,2,ER19492,01,cap rename ER19492 pension_s,2001
pension_s,3,ER22888,03,cap rename ER22888 pension_s,2003
pension_s,4,ER26869,05,cap rename ER26869 pension_s,2005
pension_s,5,ER37993,07,cap rename ER37993 pension_s,2007
pension_s,6,ER43966,09,cap rename ER43966 pension_s,2009
pension_s,7,ER49299,11,cap rename ER49299 pension_s,2011
pension_s,8,ER55052,13,cap rename ER55052 pension_s,2013
pension_s,9,ER62173,15,cap rename ER62173 pension_s,2015
profit_bonds,1,ER15026,99,cap rename ER15026 profit_bonds,1999
profit_bonds,10,ER67847,17,cap rename ER67847 profit_bonds,2017
profit_bonds,2,ER19222,01,cap rename ER19222 profit_bonds,2001
profit_bonds,3,ER22617,03,cap rename ER22617 profit_bonds,2003
profit_bonds,4,ER26598,05,cap rename ER26598 profit_bonds,2005
